input,output
"Write a Python script to generate a Fibonacci sequence, and explain its use in financial modeling.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the principle of energy conservation apply to roller coasters, and what are its safety implications?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['WORK_AND_ENERGY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the lymphatic system, and how does it interact with environmental pathogens?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY'], 'topic': ['HUMAN_BODY', 'MICROORGANISMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the skewness of the dataset [1, 2, 2, 3, 5], and explain its use in data distribution analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Analyze the theme of morality in 'Animal Farm' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
How do mountains influence climate patterns and human settlement?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY'], 'topic': ['PHYSICAL_FEATURES', 'WEATHER_AND_CLIMATE'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of isotopes in chemical analysis, and how are they used in archaeology?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'HISTORY'], 'topic': ['ATOMIC_STRUCTURE', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = e^x / x², and discuss its applications in economic modeling.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Cold War influence space exploration and technological advancements?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'COMPUTER_SCIENCE'], 'topic': ['MODERN_HISTORY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of invasive plant species, and how can they be studied in a lab?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['PLANT_PHYSIOLOGY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a merge sort algorithm, and explain its use in large-scale data processing.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of nuclear magnetic resonance, and how is it applied in medical diagnostics?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'BIOLOGY'], 'topic': ['NOT_FOUND', 'HUMAN_BODY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Which of the following are functions of the endoplasmic reticulum? A) Protein synthesis B) Lipid synthesis C) Energy production D) Detoxification,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the rules for comma usage, and analyze their application in a given paragraph?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the surface area of a cube with side length 4cm, and explain its use in packaging design.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH'], 'topic': ['GEOMETRY'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the causes and effects of urban heat islands, and how can they be mitigated through urban planning?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['ENVIRONMENTAL_STUDIES', 'THERMODYNAMICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of the Doppler effect and its applications in astronomy and medical imaging.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'BIOLOGY'], 'topic': ['OPTICS', 'HUMAN_BODY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation 4x² - 8x + 3 = 0, and discuss its applications in optics design.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'PHYSICS'], 'topic': ['ALGEBRA', 'OPTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are properties of alkaline earth metals? A) Form basic oxides B) High density C) Found in group 2 D) Low reactivity,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'METALS_NONMETALS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Mesopotamian civilization contribute to writing systems and urban planning?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to calculate the power of a number, and explain its use in cryptographic algorithms.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE', 'MATH'], 'topic': ['PROGRAMMING_BASICS', 'NUMBER_SYSTEMS', 'CYBER_SECURITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"How does the principle of torque apply to mechanical systems, and what are its uses in engineering design?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"What is the role of the circulatory system, and how does it interact with environmental factors like altitude?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the z-score for a value of 85 in a dataset with mean 75 and standard deviation 5, and explain its use in statistical analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Analyze the theme of oppression in 'The Handmaid's Tale' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do volcanoes influence soil fertility and human settlement patterns?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['PHYSICAL_FEATURES', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of polymerization in chemistry, and how is it applied in the plastics industry?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['CHEMICAL_REACTIONS', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the integral of ∫x³ dx from 1 to 2, and discuss its applications in volume calculations.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS', 'GEOMETRY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Suffrage Movement influence gender equality and political participation?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of pesticide use, and how can they be studied in a controlled environment?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['NOT_FOUND', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a quicksort algorithm, and explain its use in database optimization.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['ALGORITHMS', 'DATA_STRUCTURES'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of electromagnetic waves, and how is it applied in communication systems?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'COMPUTER_SCIENCE'], 'topic': ['ELECTRICITY', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Which of the following are functions of the Golgi apparatus? A) Protein modification B) Energy production C) Lipid packaging D) Cell division,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the rules for subject-verb-object sentence structure, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the perimeter of a pentagon with side length 5cm, and explain its use in landscape design.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH', 'GEOGRAPHY'], 'topic': ['GEOMETRY', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the causes and effects of greenhouse gas emissions, and how can they be mitigated through renewable energy?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'CHEMISTRY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'CHEMICAL_REACTIONS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
Explain the concept of relativity in the context of time dilation and its applications in satellite navigation.,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS', 'COMPUTER_SCIENCE'], 'topic': ['NOT_FOUND', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"Solve the equation tan(x) = 1 for x in [0, π], and discuss its applications in navigation systems.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH', 'GEOGRAPHY'], 'topic': ['TRIGONOMETRY', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
Which of the following are characteristics of lanthanides? A) High melting points B) Form colored ions C) Found in period 6 D) Low density,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY'], 'topic': ['PERIODIC_TABLE', 'METALS_NONMETALS'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
How did the Indus Valley Civilization contribute to urban planning and trade networks?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY', 'GEOGRAPHY'], 'topic': ['ANCIENT_CIVILIZATIONS', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Write a Python script to reverse a string, and explain its use in data validation algorithms.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['PROGRAMMING_BASICS', 'ALGORITHMS'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_11']}"
"How does the principle of angular momentum apply to spinning objects, and what are its uses in space exploration?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['LAWS_OF_MOTION', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"What is the role of the respiratory system, and how does it interact with environmental pollutants?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['BIOLOGY', 'GEOGRAPHY'], 'topic': ['HUMAN_BODY', 'ENVIRONMENTAL_STUDIES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"Calculate the binomial probability of getting exactly 3 successes in 5 trials with p = 0.4, and explain its use in quality control.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['STATISTICS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
Analyze the theme of power in 'Brave New World' and answer a related comprehension question.,"{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'THEORY_REVIEW'], 'subject': ['ENGLISH'], 'topic': ['LITERATURE', 'COMPREHENSION'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How do grasslands support biodiversity and influence agricultural practices?,"{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'RESOURCES'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What is the role of electroplating in chemistry, and how is it applied in manufacturing?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['CHEMISTRY', 'PHYSICS'], 'topic': ['CHEMICAL_REACTIONS', 'ELECTRICITY'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Solve for the derivative of f(x) = x / (x + 1), and discuss its applications in rate of change analysis.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['MATH'], 'topic': ['CALCULUS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
How did the Abolitionist Movement influence social reform and legal changes in the 19th century?,"{'intent': ['THEORY_REVIEW', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['HISTORY'], 'topic': ['FREEDOM_MOVEMENTS', 'MODERN_HISTORY'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
"What are the ecological impacts of mining activities, and how can they be studied experimentally?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'EXAM_PREPARATION'], 'subject': ['GEOGRAPHY', 'BIOLOGY'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
"Write a program to implement a stack using arrays, and explain its use in function call management.","{'intent': ['PROBLEM_SOLVING', 'CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION'], 'subject': ['COMPUTER_SCIENCE'], 'topic': ['DATA_STRUCTURES', 'ALGORITHMS'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_12']}"
"What is the principle of thermal conductivity, and how is it applied in building insulation?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['PHYSICS'], 'topic': ['THERMODYNAMICS', 'NOT_FOUND'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_10']}"
Which of the following are functions of lysosomes? A) Digestion of waste B) Energy production C) Protein synthesis D) Cellular cleanup,"{'intent': ['MCQ_PRACTICE', 'CONCEPT_EXPLANATION', 'EXAM_PREPARATION'], 'subject': ['BIOLOGY'], 'topic': ['CELL_STRUCTURE', 'NOT_FOUND'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_7']}"
"What are the rules for using dashes in writing, and analyze their use in a given text?","{'intent': ['CONCEPT_EXPLANATION', 'COMPREHENSION', 'EXAM_PREPARATION'], 'subject': ['ENGLISH'], 'topic': ['GRAMMAR', 'COMPREHENSION'], 'difficulty': ['MEDIUM'], 'gradeLevel': ['GRADE_9']}"
"Calculate the area of a circle with radius 8cm, and explain its use in agricultural planning.","{'intent': ['PROBLEM_SOLVING', 'REAL_WORLD_APPLICATION', 'CONCEPT_EXPLANATION'], 'subject': ['MATH', 'GEOGRAPHY'], 'topic': ['GEOMETRY', 'RESOURCES'], 'difficulty': ['EASY'], 'gradeLevel': ['GRADE_8']}"
"What are the causes and effects of glacial retreat, and how can they be mitigated through climate policies?","{'intent': ['CONCEPT_EXPLANATION', 'REAL_WORLD_APPLICATION', 'THEORY_REVIEW'], 'subject': ['GEOGRAPHY', 'PHYSICS'], 'topic': ['ENVIRONMENTAL_STUDIES', 'NOT_FOUND'], 'difficulty': ['HARD'], 'gradeLevel': ['GRADE_11']}"
